afile	alang	aregister	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
id_518276	ru	media	ref	31.977272727272727	0.0014214641080312722	0.0014214641080312722	0.0	1.0227272727272727	0.022727272727272728	0.20454545454545456	0.11363636363636363	0.022727272727272728	0.045454545454545456	3.9545454545454546	0.7954545454545454	0.457000710732054	0.833981841763943	0.0021321961620469083	0.36363636363636365	0.46464646464646464	0.050505050505050504	0.21212121212121213	0.494949494949495	0.0	0.5	0.25	0.045454545454545456	0.022727272727272728	0.045454545454545456	0.11363636363636363	0.06818181818181818	0.0	0.023148148148148147	0.009259259259259259	0.022727272727272728	1.9545454545454546	0.3409090909090909	0.004975124378109453	0.9344262295081968	4.058329355863677	1.0610158138628476	0.15972569097569098	0.007575757575757575	0.04341491841491841	0.03868006993006993	0.11105561105561107	0.23249666999666999	0.08886946386946387
id_520519	ru	media	ref	22.989473684210527	0.00641025641025641	0.003205128205128205	0.0	0.8210526315789474	0.0	0.031578947368421054	0.010526315789473684	0.021052631578947368	0.021052631578947368	2.8842105263157896	0.6947368421052632	0.5554029304029304	0.9657643312101911	0.0018315018315018315	0.06315789473684211	0.5590062111801242	0.08695652173913043	0.14906832298136646	0.7391304347826086	0.010526315789473684	0.4631578947368421	0.06315789473684211	0.15789473684210525	0.042105263157894736	0.010526315789473684	0.042105263157894736	0.021052631578947368	0.0	0.011764705882352941	0.0029411764705882353	0.031578947368421054	0.8421052631578947	0.49473684210526314	0.006868131868131868	0.9603960396039604	4.01482986737767	1.1517794705762356	0.11578947368421054	0.003508771929824561	0.010526315789473684	0.010526315789473684	0.21654135338345862	0.24837092731829574	0.03684210526315789
id_518109	ru	media	ref	27.146067415730336	0.007036423841059603	0.0016556291390728477	0.0	0.7640449438202247	0.02247191011235955	0.25842696629213485	0.056179775280898875	0.056179775280898875	0.02247191011235955	3.3258426966292136	1.5280898876404494	0.5786423841059603	0.9471544715447154	0.0033112582781456954	0.16853932584269662	0.5876777251184834	0.07582938388625593	0.15165876777251186	0.6398104265402843	0.011235955056179775	0.5842696629213483	0.3258426966292135	0.21348314606741572	0.0449438202247191	0.02247191011235955	0.07865168539325842	0.033707865168539325	0.0	0.019662921348314606	0.0056179775280898875	0.0449438202247191	1.1123595505617978	0.3707865168539326	0.013658940397350994	0.856353591160221	4.816837961432542	1.0652836267824415	0.1808988764044944	0.042134831460674156	0.24194756554307115	0.08408239700374531	0.08632958801498126	0.07247191011235955	0.07865168539325842
id_507697	ru	media	ref	15.849315068493151	0.025064822817631807	0.006050129645635264	0.0025929127052722557	0.5616438356164384	0.0136986301369863	0.136986301369863	0.0136986301369863	0.0547945205479452	0.0958904109589041	1.0	0.6027397260273972	0.46499567847882456	0.992619926199262	0.015557476231633534	0.2191780821917808	0.6935483870967742	0.13709677419354838	0.056451612903225805	0.10483870967741936	0.0	0.0958904109589041	0.4383561643835616	0.0547945205479452	0.0410958904109589	0.0821917808219178	0.0273972602739726	0.0821917808219178	0.0958904109589041	0.03208556149732621	0.0106951871657754	0.3013698630136986	1.2876712328767124	0.2328767123287671	0.007778738115816767	0.6218487394957983	3.290198318502375	1.021657426006184	0.07534246575342465	0.0410958904109589	0.0136986301369863	0.04794520547945205	0.02968036529680365	0.3059360730593607	0.13013698630136986
id_476597	ru	media	ref	22.794117647058822	0.003870967741935484	0.0012903225806451613	0.0	0.9411764705882353	0.0	0.0	0.0	0.029411764705882353	0.029411764705882353	3.088235294117647	0.9117647058823529	0.5509677419354839	0.9682539682539683	0.01032258064516129	0.14705882352941177	0.5070422535211268	0.18309859154929578	0.1267605633802817	0.352112676056338	0.0	0.29411764705882354	0.35294117647058826	0.08823529411764706	0.058823529411764705	0.08823529411764706	0.08823529411764706	0.058823529411764705	0.029411764705882353	0.029411764705882353	0.022058823529411766	0.17647058823529413	0.9411764705882353	0.4411764705882353	0.016774193548387096	0.9545454545454546	4.091210586641351	1.2094097815541947	0.10294117647058823	0.0	0.10294117647058823	0.05637254901960784	0.07352941176470588	0.12254901960784312	0.10049019607843136
id_476612	ru	media	ref	22.868852459016395	0.004301075268817204	0.005017921146953405	0.0007168458781362007	0.6065573770491803	0.01639344262295082	0.06557377049180328	0.03278688524590164	0.0	0.0	3.4918032786885247	0.7868852459016393	0.5827956989247312	0.9748201438848921	0.004301075268817204	0.18032786885245902	0.45	0.02	0.17	0.76	0.0	0.2786885245901639	0.13114754098360656	0.06557377049180328	0.01639344262295082	0.01639344262295082	0.01639344262295082	0.06557377049180328	0.0	0.011673151750972763	0.0038910505836575876	0.06557377049180328	0.9836065573770492	0.3770491803278688	0.01003584229390681	0.9176470588235294	4.086238172580036	1.0734872705929943	0.11612021857923496	0.0	0.00546448087431694	0.03415300546448087	0.13524590163934427	0.31284153005464477	0.051912568306010924
id_485447	ru	media	ref	24.83050847457627	0.015017064846416382	0.010921501706484642	0.0006825938566552901	0.9661016949152542	0.03389830508474576	0.11864406779661017	0.05084745762711865	0.01694915254237288	0.05084745762711865	2.6271186440677967	0.2711864406779661	0.5617747440273038	0.9682352941176471	0.008191126279863481	0.4406779661016949	0.5	0.16153846153846155	0.14615384615384616	0.46153846153846156	0.0	0.06779661016949153	0.23728813559322035	0.05084745762711865	0.06779661016949153	0.1016949152542373	0.06779661016949153	0.06779661016949153	0.0	0.00819672131147541	0.012295081967213115	0.2542372881355932	1.5084745762711864	0.15254237288135594	0.010238907849829351	0.8602941176470589	4.243920882290931	1.2009922929794197	0.13418079096045196	0.031073446327683614	0.01694915254237288	0.015536723163841805	0.025423728813559324	0.2824858757062147	0.2062146892655367
id_518197	ru	media	ref	24.3876404494382	0.0064501266989173	0.004376871688551025	0.0	1.2808988764044944	0.0056179775280898875	0.07303370786516854	0.011235955056179775	0.0449438202247191	0.05056179775280899	2.853932584269663	0.5842696629213483	0.56645934116563	0.9538401861908457	0.00598940336328035	0.1797752808988764	0.5695538057742782	0.13385826771653545	0.15748031496062992	0.32545931758530183	0.0	0.1797752808988764	0.2696629213483146	0.19662921348314608	0.06179775280898876	0.09550561797752809	0.14606741573033707	0.0056179775280898875	0.02247191011235955	0.01445466491458607	0.00788436268068331	0.20786516853932585	1.348314606741573	0.3258426966292135	0.01243953006219765	0.9002932551319648	4.038810230041837	1.261671601066556	0.16816479400749063	0.009363295880149811	0.008426966292134831	0.022846441947565542	0.08614232209737827	0.24681647940074908	0.1099250936329588
id_515862	ru	media	ref	13.75438596491228	0.04974489795918367	0.004464285714285714	0.0031887755102040817	0.5263157894736842	0.03508771929824561	0.03508771929824561	0.008771929824561403	0.0	0.06140350877192982	0.6842105263157895	1.2894736842105263	0.4375	0.9870503597122302	0.013392857142857142	0.10526315789473684	0.7636363636363637	0.11363636363636363	0.08636363636363636	0.06363636363636363	0.0	0.07017543859649122	0.17543859649122806	0.02631578947368421	0.02631578947368421	0.008771929824561403	0.017543859649122806	0.09649122807017543	0.11403508771929824	0.017699115044247787	0.0	0.24561403508771928	1.043859649122807	0.35964912280701755	0.011479591836734694	0.4835164835164835	2.7757072947006596	0.8927944705527097	0.05921052631578947	0.0	0.015350877192982455	0.04751461988304093	0.017543859649122806	0.35453216374269003	0.1111111111111111
id_520622	ru	media	ref	34.265822784810126	0.005541189508681197	0.0014776505356483192	0.0	1.3670886075949367	0.0	0.11392405063291139	0.02531645569620253	0.0	0.02531645569620253	4.670886075949367	0.7721518987341772	0.51865533801256	0.9448183041722745	0.002216475803472479	0.02531645569620253	0.5923566878980892	0.07006369426751592	0.21019108280254778	0.7515923566878981	0.0	0.5189873417721519	0.0379746835443038	0.17721518987341772	0.012658227848101266	0.02531645569620253	0.0379746835443038	0.0	0.012658227848101266	0.010526315789473684	0.016842105263157894	0.012658227848101266	1.5063291139240507	0.3037974683544304	0.0029553010712966383	0.9291338582677166	4.7735376041723026	1.3157812333876238	0.16350210970464135	0.0	0.0759493670886076	0.0	0.15717299578059074	0.37341772151898733	0.040084388185654
