afile	alang	aregister	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	shortpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
id_518195	ru	media	ref	34.7479674796748	0.007253158633598503	0.0028076743097800653	0.0	0.967479674796748	0.016260162601626018	0.25203252032520324	0.06504065040650407	0.056910569105691054	0.024390243902439025	3.1707317073170733	0.926829268292683	0.44992980814225547	0.9157142857142857	0.010762751520823585	0.08943089430894309	0.6128048780487805	0.11585365853658537	0.1402439024390244	0.2926829268292683	0.0	0.25203252032520324	0.44715447154471544	0.17073170731707318	0.08130081300813008	0.0975609756097561	0.04878048780487805	0.07317073170731707	0.04878048780487805	0.05830388692579505	0.03356890459363958	0.21951219512195122	1.6991869918699187	0.2682926829268293	0.016846045858680395	0.8723404255319149	4.2621042688511706	1.4222379032414667	0.15934959349593494	0.0	0.006775067750677506	0.103397212543554	0.06545683313975997	0.32055749128919864	0.07617111885404568
id_518288	ru	media	ref	46.84033613445378	0.002511661284535343	0.0001794043774668102	0.0003588087549336204	2.277310924369748	0.0	0.08403361344537816	0.01680672268907563	0.008403361344537815	0.03361344537815126	5.34453781512605	0.8571428571428571	0.44312881234302115	0.8048224177256436	0.0003588087549336204	0.12605042016806722	0.4061433447098976	0.020477815699658702	0.33447098976109213	1.0341296928327646	0.0	0.5126050420168067	0.2184873949579832	0.13445378151260504	0.008403361344537815	0.06722689075630252	0.14285714285714285	0.04201680672268908	0.03361344537815126	0.008097165991902834	0.0	0.05042016806722689	2.235294117647059	0.2773109243697479	0.005023322569070686	0.9171597633136095	4.849571087107598	1.3467366766972622	0.20541216486594635	0.007002801120448179	0.012745098039215686	0.018207282913165264	0.15491196478591435	0.3106842737094838	0.03893557422969187
id_511925	ru	media	ref	21.05925925925926	0.02884277172001407	0.008441786844882167	0.0017587055926837848	0.5925925925925926	0.14814814814814814	0.13333333333333333	0.02962962962962963	0.05925925925925926	0.23703703703703705	1.2740740740740741	1.9555555555555555	0.5086176574041505	0.9931318681318682	0.009848751319029195	0.23703703703703705	0.7376623376623377	0.11948051948051948	0.11948051948051948	0.11688311688311688	0.007407407407407408	0.15555555555555556	0.3851851851851852	0.05185185185185185	0.05185185185185185	0.08148148148148149	0.07407407407407407	0.044444444444444446	0.08148148148148149	0.012987012987012988	0.012987012987012988	0.2222222222222222	1.5555555555555556	0.3037037037037037	0.01618009145269082	0.7189349112426036	3.378404072940192	1.138588543091633	0.0845679012345679	0.01895943562610229	0.07098765432098765	0.09530864197530864	0.01728395061728395	0.183668430335097	0.1514462081128748
id_516192	ru	media	ref	37.08045977011494	0.008369497830130192	0.0018598884066955983	0.00030998140111593303	1.1149425287356323	0.011494252873563218	0.13793103448275862	0.022988505747126436	0.05747126436781609	0.08045977011494253	4.379310344827586	0.9540229885057471	0.42250464972101676	0.8069863824748372	0.0040297582145071295	0.26436781609195403	0.511520737327189	0.05069124423963134	0.2304147465437788	0.9585253456221198	0.0	0.367816091954023	0.4367816091954023	0.1724137931034483	0.06896551724137931	0.22988505747126436	0.08045977011494253	0.20689655172413793	0.022988505747126436	0.008528784648187633	0.0	0.3793103448275862	1.7701149425287357	0.3563218390804598	0.011779293242405457	0.8904109589041096	4.604889256692019	1.270017350502217	0.19184455391351943	0.021839080459770115	0.03199233716475096	0.024438970990695124	0.10117679255610287	0.23645320197044334	0.09340448823207445
id_518191	ru	media	ref	40.955555555555556	0.005425935973955507	0.0005425935973955507	0.0	0.4888888888888889	0.0	0.06666666666666667	0.022222222222222223	0.17777777777777778	0.044444444444444446	6.133333333333334	1.0444444444444445	0.44709712425393383	0.8574401664932362	0.0027129679869777536	0.24444444444444444	0.4214876033057851	0.03305785123966942	0.2644628099173554	0.47107438016528924	0.022222222222222223	0.4666666666666667	0.4444444444444444	0.022222222222222223	0.044444444444444446	0.1111111111111111	0.08888888888888889	0.08888888888888889	0.0	0.012698412698412698	0.012698412698412698	0.08888888888888889	2.1333333333333333	0.2	0.008138903960933261	0.875	4.717423513021242	1.43580965677026	0.2813756613756614	0.0	0.050793650793650794	0.04465608465608466	0.08835978835978835	0.2988359788359788	0.03597883597883598
id_518100	ru	media	ref	33.80891719745223	0.004333082140165787	0.00037678975131876413	0.0	0.8407643312101911	0.03184713375796178	0.05732484076433121	0.0	0.006369426751592357	0.03184713375796178	3.267515923566879	0.9681528662420382	0.4050489826676714	0.8634538152610441	0.0037678975131876413	0.08917197452229299	0.652317880794702	0.056291390728476824	0.09271523178807947	0.27483443708609273	0.0	0.3057324840764331	0.3503184713375796	0.11464968152866242	0.050955414012738856	0.006369426751592357	0.12738853503184713	0.03821656050955414	0.025477707006369428	0.04481792717086835	0.0056022408963585435	0.08917197452229299	1.7261146496815287	0.34394904458598724	0.010550113036925395	0.8730769230769231	3.8362898028547137	1.3216921408914277	0.07098119502578101	0.010509554140127388	0.025690021231422503	0.016151046405823474	0.11821236088752012	0.41923329678106747	0.05259832170660196
id_510477	ru	media	ref	26.328358208955223	0.013605442176870748	0.0017006802721088435	0.002834467120181406	1.0	0.08955223880597014	0.19402985074626866	0.029850746268656716	0.029850746268656716	0.1791044776119403	2.4328358208955225	0.5223880597014925	0.48356009070294786	0.9693181818181819	0.013605442176870748	0.19402985074626866	0.6644736842105263	0.07894736842105263	0.13157894736842105	0.15789473684210525	0.0	0.373134328358209	0.4626865671641791	0.208955223880597	0.04477611940298507	0.14925373134328357	0.13432835820895522	0.14925373134328357	0.1791044776119403	0.05521472392638037	0.018404907975460124	0.29850746268656714	1.8059701492537314	0.22388059701492538	0.013038548752834467	0.7272727272727273	3.732509940909187	1.3871213489472207	0.07338308457711441	0.0029850746268656717	0.010945273631840797	0.05323383084577115	0.07935323383084576	0.4353233830845771	0.04626865671641791
id_516296	ru	media	ref	33.58536585365854	0.006535947712418301	0.005083514887436456	0.0	0.5609756097560976	0.04878048780487805	0.14634146341463414	0.024390243902439025	0.04878048780487805	0.07317073170731707	3.292682926829268	0.8292682926829268	0.4153957879448075	0.8653555219364599	0.0007262164124909223	0.3170731707317073	0.5145631067961165	0.06796116504854369	0.1553398058252427	0.7281553398058253	0.0	0.3902439024390244	0.6097560975609756	0.36585365853658536	0.024390243902439025	0.1951219512195122	0.0975609756097561	0.07317073170731707	0.024390243902439025	0.017857142857142856	0.0	0.2926829268292683	2.5365853658536586	0.21951219512195122	0.017429193899782137	0.9318181818181818	4.447276772549088	1.0618553707785277	0.11324041811846688	0.009581881533101045	0.02305458768873403	0.05592334494773519	0.08455284552845528	0.4521486643437863	0.06637630662020906
id_509664	ru	media	ref	29.38095238095238	0.01539708265802269	0.0032414910858995136	0.0024311183144246355	1.3095238095238095	0.047619047619047616	0.047619047619047616	0.0	0.023809523809523808	0.023809523809523808	2.857142857142857	0.8809523809523809	0.4659643435980551	0.9778911564625851	0.006482982171799027	0.047619047619047616	0.7011494252873564	0.011494252873563218	0.14942528735632185	0.25287356321839083	0.0	0.19047619047619047	0.21428571428571427	0.11904761904761904	0.09523809523809523	0.023809523809523808	0.047619047619047616	0.07142857142857142	0.14285714285714285	0.08415841584158416	0.009900990099009901	0.23809523809523808	1.2619047619047619	0.23809523809523808	0.012155591572123177	0.7956989247311828	4.083115497199539	1.498709179699945	0.08333333333333333	0.0	0.0	0.03571428571428571	0.04563492063492063	0.49404761904761907	0.007936507936507936
id_509621	ru	media	ref	23.353846153846153	0.015810276679841896	0.00461133069828722	0.0013175230566534915	0.7846153846153846	0.03076923076923077	0.13846153846153847	0.07692307692307693	0.015384615384615385	0.03076923076923077	1.5692307692307692	1.0307692307692307	0.4670619235836627	0.9929971988795518	0.01383399209486166	0.12307692307692308	0.6753246753246753	0.15584415584415584	0.1038961038961039	0.17532467532467533	0.0	0.16923076923076924	0.36923076923076925	0.09230769230769231	0.046153846153846156	0.06153846153846154	0.12307692307692308	0.1076923076923077	0.15384615384615385	0.06808510638297872	0.02553191489361702	0.3230769230769231	1.5384615384615385	0.27692307692307694	0.013175230566534914	0.7575757575757576	3.5925860243876997	1.3109627368049133	0.1064102564102564	0.014102564102564103	0.020512820512820513	0.07692307692307693	0.03717948717948718	0.30128205128205127	0.1358974358974359
id_515835	ru	media	ref	24.6	0.030569105691056912	0.0045528455284552845	0.006829268292682927	1.04	0.104	0.2	0.056	0.032	0.128	1.936	1.68	0.4689430894308943	0.9789545145960624	0.010081300813008131	0.144	0.6695652173913044	0.1565217391304348	0.11884057971014493	0.18840579710144928	0.008	0.064	0.408	0.048	0.096	0.056	0.04	0.072	0.128	0.026143790849673203	0.008714596949891068	0.376	1.536	0.248	0.01951219512195122	0.6298932384341637	3.281047394463792	1.3730238534262333	0.15266666666666664	0.0076	0.006266666666666667	0.02333333333333333	0.024	0.2744	0.15973333333333334
